HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HI_score	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
RAN	HGNC:9846	0.97576	0.262	0.988635802	NA	6.376776524	0.789743911	0	FALSE	FALSE
DPYD	HGNC:3012	3.37E-22	1.005	0.401024297	30	0.538031774	0.443429756	1.150085614	TRUE	TRUE
CCT2	HGNC:1615	0.99853	0.226	0.890348873	NA	1.823867812	0.582328357	0.207610515	FALSE	FALSE
CRYGC	HGNC:2410	0.0006061	1.311	0.238493146	0	-0.158781552	0.446467468	0.964867239	FALSE	TRUE
ARCN1	HGNC:649	0.99997	0.101	0.965259344	3	4.083990005	0.567068183	0	FALSE	TRUE
SPTY2D1	HGNC:26818	0.94476	0.337	0.862915976	NA	2.671997439	0.318931214	0.195990088	FALSE	FALSE
SYCP2	HGNC:11490	1	0.183	0.940628549	NA	3.865445741	0.224324428	0.122985763	FALSE	FALSE
EED	HGNC:3188	0.99929	0.187	0.896851385	NA	0.67022763	NA	0.091971661	FALSE	FALSE
LAMC1	HGNC:6492	1	0.198	0.981563473	NA	1.99801656	0.43909873	0.150061385	FALSE	FALSE
SBF2	HGNC:2135	6.38E-10	0.467	0.88446123	30	2.633793699	0.470615362	0.415274253	FALSE	TRUE
CFC1	HGNC:18292	0.10509	1.247	0.059060069	0	NA	0.289064262	0.805792404	FALSE	TRUE
ATF7IP	HGNC:20092	0.99993	0.213	0.982551976	NA	2.989887719	0.345109672	0.104082474	FALSE	FALSE
ACER3	HGNC:16066	0.87464	0.388	0.328910749	NA	4.441324381	0.585757336	0.301030227	FALSE	TRUE
PRPF4	HGNC:17349	0.9993	0.227	0.957123758	NA	NA	0.56522542	0.102479355	FALSE	TRUE
RAX2	HGNC:18286	0.0082874	1.807	0.213728905	NA	1.293979619	0.376362137	1.773160712	FALSE	TRUE
POLA1	HGNC:9173	NA	NA	NA	NA	NA	0.41970666	NA	FALSE	TRUE
ARFGEF1	HGNC:15772	1	0.143	0.986704383	NA	1.585309929	0.590152149	0.123833034	FALSE	TRUE
ZNF319	HGNC:13644	0.99285	0.248	0.606346284	NA	1.384347623	0.50810915	0.182131235	FALSE	FALSE
SS18L1	HGNC:15592	0.98229	0.306	0.823364709	NA	3.882784594	0.405255425	0.360616002	FALSE	FALSE
NCF2	HGNC:7661	4.01E-07	0.743	0.303726621	30	2.940739848	0.369618326	0.694672091	FALSE	TRUE
SMAD4	HGNC:6770	0.99881	0.222	0.995704705	3	3.748480974	0.670472364	0.112486892	TRUE	TRUE
NPAS3	HGNC:19311	0.99974	0.211	0.97905042	NA	3.626219354	0.530169591	0.130984097	FALSE	FALSE
CAMSAP2	HGNC:29188	0.99999	0.203	0.963337263	NA	3.282007036	0.378459848	0.103179732	FALSE	FALSE
FLNA	HGNC:3754	1	0.082	NA	3	NA	0.542958814	NA	TRUE	TRUE
AFF4	HGNC:17869	1	0.138	0.985857432	NA	0.037188605	0.401863381	0.117420035	FALSE	FALSE
TMC8	HGNC:20474	1.14E-14	1.124	0.544861504	30	2.980156196	0.289369216	1.253320841	FALSE	TRUE
THRAP3	HGNC:22964	0.99998	0.19	0.984783628	NA	NA	0.48113425	0.07047446	FALSE	FALSE
IKBKG	HGNC:5961	NA	NA	NA	3	NA	NA	NA	TRUE	TRUE
WWTR1	HGNC:24042	NA	NA	0.930802651	NA	3.298734889	0.491767976	0.231340595	TRUE	FALSE
UBE2A	HGNC:12472	0.815	0.537	NA	3	NA	0.71239632	NA	TRUE	TRUE
DYSF	HGNC:3097	3.65E-33	0.734	0.327322109	NA	2.422429213	0.471987164	0.920826341	TRUE	FALSE
PREX1	HGNC:32594	1	0.091	0.944008933	NA	3.812141409	0.489692671	0.046320782	FALSE	FALSE
ATP13A1	HGNC:24215	0.98939	0.294	0.870293268	NA	3.103445668	0.532145862	0.168984748	FALSE	FALSE
CDYL	HGNC:1811	0.99504	0.236	0.994922752	NA	2.962621155	0.519456988	0.072802728	FALSE	FALSE
PHF20L1	HGNC:24280	1	0.187	0.982484022	NA	0.457584967	0.408393598	0.105376408	FALSE	FALSE
FBLN1	HGNC:3600	0.91878	0.338	0.981714929	NA	7.586555528	0.458735031	0.388994883	FALSE	FALSE
TBCD	HGNC:11581	1.00E-07	0.493	0.503270956	NA	3.6685539	0.330239731	0.579710087	TRUE	TRUE
GAMT	HGNC:4136	NA	NA	0.282325178	30	5.633570382	0.464438753	1.693533582	FALSE	TRUE
DRD1	HGNC:3020	0.9555	0.307	0.973899711	NA	2.588614909	0.452807109	0.280258978	FALSE	FALSE
LOX	HGNC:6664	0.98769	0.285	0.8881838	NA	1.358857965	NA	0.323935818	FALSE	FALSE
ARID4A	HGNC:9885	1	0.139	0.991352568	NA	0.640626381	0.394141402	0.106330543	FALSE	FALSE
COX6B1	HGNC:2280	NA	NA	0.140727988	30	0.028151899	0.49248519	NA	FALSE	TRUE
BCL11A	HGNC:13221	NA	NA	0.995645195	3	3.488249051	NA	NA	FALSE	TRUE
ALDOA	HGNC:414	NA	NA	0.193391993	30	2.118859072	0.33795874	NA	TRUE	FALSE
MAPK8IP2	HGNC:6883	0.99997	0.1	0.984736724	NA	3.571027831	0.458907656	0.092273133	FALSE	FALSE
CRYBA1	HGNC:2394	6.41E-05	1.002	NA	0	0.922124728	0.547672846	0.928015121	FALSE	TRUE
PPFIA3	HGNC:9247	1	0.121	0.877938155	NA	4.589456545	0.539732577	0.075053661	FALSE	FALSE
EIF2B4	HGNC:3260	NA	NA	0.82203463	NA	2.916068526	0.386832988	0.308781064	FALSE	TRUE
INHBA	HGNC:6066	0.97979	0.251	0.972108393	NA	2.811541103	NA	0	FALSE	FALSE
NARS1	HGNC:7643	2.95E-09	0.781	0.679725052	NA	0.087614073	0.52911875	0.674168474	FALSE	TRUE
LMBRD1	HGNC:23038	NA	NA	0.121403679	NA	1.783836737	NA	NA	FALSE	TRUE
GDF11	HGNC:4216	0.97645	0.298	0.642985209	NA	3.067997264	0.568866655	0.107392597	FALSE	TRUE
FBXL16	HGNC:14150	0.96981	0.311	0.551560401	NA	5.153577199	0.583679585	0.112035576	FALSE	FALSE
PTPN4	HGNC:9656	0.99663	0.279	0.740647335	NA	2.872901119	0.470070976	0.200171268	FALSE	FALSE
DHX15	HGNC:2738	1	0.105	0.996421712	NA	1.986180441	0.705434682	0.067210902	FALSE	FALSE
CA8	HGNC:1382	0.0082516	0.67	0.299982741	30	1.762920126	0.586651144	0.522240213	FALSE	TRUE
CCNA2	HGNC:1578	0.99962	0.132	0.862503047	NA	2.031607332	NA	0.15459775	FALSE	FALSE
SUFU	HGNC:16466	0.99992	0.111	0.965391871	NA	2.825697816	0.599041405	0.064696866	TRUE	TRUE
LHX2	HGNC:6594	0.98812	0.224	0.984803188	NA	4.387544502	0.571833983	0	FALSE	FALSE
NAPB	HGNC:15751	0.11216	0.582	0.252727996	NA	1.740264854	0.5686877	0.397784422	FALSE	TRUE
DOCK6	HGNC:19189	1.26E-26	0.717	0.370296226	NA	2.435263506	0.500546098	0.937198512	TRUE	TRUE
GCSH	HGNC:4208	0.001602	1.423	0.850798154	30	0.41922043	0.491492652	1.480081439	FALSE	TRUE
RAD51D	HGNC:9823	NA	NA	0.160454586	2	2.369390567	0.371808183	1.121252412	TRUE	TRUE
USH1C	HGNC:12597	3.97E-18	0.888	0.675109979	30	2.16338271	0.430073033	0.851133818	TRUE	TRUE
DNAAF3	HGNC:30492	NA	NA	0.650564512	NA	5.412512501	0.347515135	1.426455438	FALSE	TRUE
NAA25	HGNC:25783	1	0.108	0.993534396	NA	3.794119208	0.466833243	0.077871897	FALSE	FALSE
IRF2BPL	HGNC:14282	0.83623	0.405	0.368668494	NA	2.209577338	0.578477966	NA	FALSE	TRUE
SEC62	HGNC:11846	0.98295	0.297	0.935950311	NA	3.719426767	0.525617443	0.117435099	FALSE	FALSE
CHD4	HGNC:1919	NA	NA	0.997696133	1	2.003276673	0.687787366	0.112676767	FALSE	TRUE
SMPD1	HGNC:11120	3.89E-10	1.085	0.644161689	NA	1.683254923	0.398412045	1.228297021	TRUE	TRUE
LEF1	HGNC:6551	0.99789	0.212	0.978642577	NA	4.90559699	0.48232848	0.152235446	FALSE	TRUE
USH2A	HGNC:12601	1.57E-94	0.857	0.075440767	30	2.790791555	0.261376071	0.849576986	TRUE	TRUE
XKR6	HGNC:27806	0.99934	0.186	0.978839265	NA	1.147075819	0.507754624	0.096399883	FALSE	FALSE
NAMPT	HGNC:30092	0.97914	0.309	0.767103829	NA	3.577325863	0.538150736	0.23254147	FALSE	FALSE
CDC34	HGNC:1734	0.95625	0.305	0.575998585	NA	1.056893847	0.625600498	0.751143308	FALSE	FALSE
ZBTB18	HGNC:13030	0.99658	0.179	0.999172313	3	3.865798629	NA	0	FALSE	TRUE
REV1	HGNC:14060	0.99989	0.236	0.948742339	NA	0.258279726	0.36314094	0.17755889	FALSE	FALSE
LTBP3	HGNC:6716	0.68647	0.335	0.462770847	NA	1.810517443	0.472918232	0.488950223	FALSE	TRUE
MPZL2	HGNC:3496	1.08E-12	1.864	0.553737538	NA	3.04483786	0.378095704	2.052341339	TRUE	FALSE
KPNA1	HGNC:6394	0.99818	0.245	0.848253234	NA	2.50941735	0.597231801	0.185729841	FALSE	FALSE
EPHB1	HGNC:3392	0.9985	0.257	0.9145124	NA	2.667702194	0.621284263	0.192890618	FALSE	FALSE
CYP19A1	HGNC:2594	1.70E-05	0.877	0.281119421	NA	1.02681694	0.344873105	0.751119523	TRUE	FALSE
STAG2	HGNC:11355	NA	NA	NA	3	NA	0.627382375	NA	TRUE	TRUE
SLC19A3	HGNC:16266	NA	NA	0.393358268	NA	2.500087704	0.308419618	NA	TRUE	TRUE
TMPRSS3	HGNC:11877	NA	NA	0.580492693	30	5.221947157	0.403910555	NA	TRUE	FALSE
FANCE	HGNC:3586	1.53E-06	0.892	0.255716653	30	4.503813486	0.234719245	0.953214678	FALSE	TRUE
OPN1LW	HGNC:9936	0.97535	0.263	NA	NA	NA	0.581210443	NA	FALSE	TRUE
TBX2	HGNC:11597	0.99329	0.246	0.990398921	1	6.511864297	0.488871669	0.150667041	FALSE	FALSE
HNRNPUL1	HGNC:17011	0.99999	0.186	0.986097257	NA	NA	0.537150929	0.084201919	FALSE	FALSE
CHRNG	HGNC:1967	NA	NA	0.482476864	NA	2.493201815	NA	NA	TRUE	TRUE
ITGA8	HGNC:6144	6.08E-13	0.664	0.626856891	NA	2.234211404	0.416729463	0.653551208	FALSE	TRUE
PHF3	HGNC:8921	0.99256	0.286	0.983163843	1	0.912007464	0.360489514	0.23059492	FALSE	FALSE
RAPH1	HGNC:14436	0.99985	0.223	0.989979507	NA	1.997688498	0.409964126	0.192432539	FALSE	FALSE
SIX1	HGNC:10887	NA	NA	0.961065005	0	4.454124231	NA	NA	FALSE	TRUE
DSC2	HGNC:3036	5.17E-08	0.689	0.467482511	2	2.7955783	0.362927889	0.679619055	TRUE	FALSE
MTMR3	HGNC:7451	0.99937	0.258	0.96847493	NA	0.840520303	0.451513607	0.145026245	FALSE	FALSE
RPS18	HGNC:10401	0.9759	0.261	0.886792749	NA	NA	0.808544236	0	FALSE	FALSE
PTPN12	HGNC:9645	0.99996	0.186	0.932745115	NA	-0.065861486	0.430956987	0.257122759	FALSE	FALSE
PPME1	HGNC:30178	0.99904	0.193	0.679430732	NA	2.395688679	0.566014344	0.16008001	FALSE	FALSE
CHERP	HGNC:16930	1	0.062	0.920842491	NA	NA	0.5414938	0.01890972	FALSE	FALSE
ESRP1	HGNC:25966	0.99934	0.236	0.974668947	NA	1.72109101	0.513002102	0.206948643	FALSE	FALSE
DPH5	HGNC:24270	8.11E-07	1.269	0.223817616	NA	1.463580577	0.469227936	1.504097811	FALSE	TRUE
PTH	HGNC:9606	0.012093	1.695	NA	NA	NA	0.286929538	0.94335016	FALSE	TRUE
KIZ	HGNC:15865	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE
TTPA	HGNC:12404	0.0014409	1.091	0.301967739	NA	0.697892994	0.466849414	1.177444152	FALSE	TRUE
FNTA	HGNC:3782	0.94721	0.345	0.833568017	NA	1.303658853	0.536486508	0.343850186	FALSE	FALSE
MYH2	HGNC:7572	3.67E-23	0.686	0.623228467	NA	3.133490276	0.57571342	0.672821703	TRUE	FALSE
PRDM12	HGNC:13997	0.93018	0.368	0.980978329	NA	3.992112865	0.571209267	0.22845244	FALSE	TRUE
CHD3	HGNC:1918	NA	NA	0.978261335	NA	3.319256069	0.639278308	0.141524709	TRUE	FALSE
FASTKD2	HGNC:29160	NA	NA	0.607685089	NA	2.152520928	0.282011366	0.821908073	TRUE	FALSE
RBBP4	HGNC:9887	0.99565	0.253	0.981887903	NA	1.42185968	0.745611461	0.106995568	FALSE	FALSE
OTULIN	HGNC:25118	0.2201	0.579	0.911342328	NA	NA	0.409781723	0.304091587	FALSE	TRUE
MED13	HGNC:22474	1	0.03	0.998662509	NA	-1.030407595	0.444908599	0.014082115	FALSE	TRUE
HYCC1	HGNC:24587	0.12103	0.485	0.612314214	NA	2.442182914	0.389315245	0.501043019	FALSE	TRUE
CCDC40	HGNC:26090	3.82E-17	0.845	0.889708075	30	6.875626149	0.234576473	1.074801717	FALSE	TRUE
CCT6A	HGNC:1620	0.99532	0.255	0.950507815	NA	NA	0.601154331	0.157033501	FALSE	FALSE
HFE	HGNC:4886	2.56E-08	1.186	0.214387055	30	2.010554556	0.340013081	1.055053625	FALSE	TRUE
MAML2	HGNC:16259	0.99987	0.228	0.96248662	NA	2.33728586	0.323134559	0.282379176	FALSE	FALSE
JMJD1C	HGNC:12313	1	0.072	0.993162855	NA	1.627957699	0.355362732	0.054278248	FALSE	FALSE
KPNA6	HGNC:6399	0.9994	0.224	0.871517905	NA	1.369660481	0.590591903	0.127138015	FALSE	FALSE
SNRPA1	HGNC:11152	0.98984	0.217	0.995570384	NA	4.878401371	0.655631387	0	FALSE	FALSE
NOTCH1	HGNC:7881	NA	NA	0.980499739	NA	3.3480851	NA	NA	TRUE	TRUE
YPEL2	HGNC:18326	0.95044	0.316	0.696376652	NA	3.49122152	0.698201086	0	FALSE	FALSE
CHRDL1	HGNC:29861	0.2164	0.522	NA	3	NA	0.389649379	NA	FALSE	TRUE
CEP350	HGNC:24238	1	0.184	0.966189462	NA	2.83177696	0.300896754	0.179976355	FALSE	FALSE
SLC12A3	HGNC:10912	NA	NA	0.144080612	30	2.836688003	0.467391231	1.234934342	TRUE	FALSE
SPPL3	HGNC:30424	0.99656	0.179	0.777063215	NA	1.324161156	0.650793831	0.148973819	FALSE	FALSE
GARS1	HGNC:4162	0.3065	0.402	0.8168421	NA	2.600826213	0.531037384	0.359707971	TRUE	FALSE
SF3B4	HGNC:10771	0.99176	0.208	0.869926689	3	3.094796989	0.58959582	0.098922265	FALSE	TRUE
SGSH	HGNC:10818	0.00010158	0.804	0.721818977	30	NA	0.465428496	0.967410568	FALSE	TRUE
DLL1	HGNC:2908	0.99999	0.095	0.999491923	3	4.979150182	0.447742782	0	TRUE	FALSE
UBR5	HGNC:16806	1	0.073	0.997790285	NA	1.996979129	0.621314122	0.040825986	FALSE	FALSE
TRAPPC11	HGNC:25751	4.56E-10	0.569	0.671178472	NA	1.490744694	0.489476572	0.542205101	FALSE	TRUE
MTRR	HGNC:7473	NA	NA	0.809966621	30	2.04222857	0.287883835	0.91249487	FALSE	TRUE
ZMYM4	HGNC:13055	1	0.175	0.97864639	NA	0.996648994	0.465920446	0.122031901	FALSE	FALSE
USP32	HGNC:19143	1	0.224	0.986318724	NA	3.158362246	0.548487901	0.171200055	FALSE	FALSE
GOSR2	HGNC:4431	NA	NA	0.388214391	NA	0.44077729	NA	NA	TRUE	FALSE
MRPS22	HGNC:14508	NA	NA	0.258563384	NA	NA	0.340523712	NA	TRUE	FALSE
SCN1A	HGNC:10585	NA	NA	0.95429803	3	2.190806149	0.616113984	NA	TRUE	TRUE
ALDH1A3	HGNC:409	0.14128	0.511	0.992667858	30	5.05859068	0.479008538	0.540108168	FALSE	TRUE
PHEX	HGNC:8918	0.99996	0.143	NA	3	NA	0.462902588	NA	TRUE	FALSE
DYNC1H1	HGNC:2961	1	0.08	0.975054205	NA	2.821806959	0.639325707	0.067851559	FALSE	FALSE
DDOST	HGNC:2728	NA	NA	0.405301042	30	NA	0.559433096	0.653800878	FALSE	TRUE
USH1G	HGNC:16356	NA	NA	0.858084326	30	4.611593718	NA	NA	FALSE	TRUE
TTLL5	HGNC:19963	2.92E-22	0.757	0.573387904	30	2.644948383	0.419032632	0.862647184	TRUE	TRUE
ULK1	HGNC:12558	0.99318	0.288	0.74395874	NA	6.025455869	0.38740033	0.236692486	FALSE	FALSE
CUX2	HGNC:19347	1	0.187	0.992990852	NA	5.968953045	0.402243257	0.129550066	FALSE	FALSE
